ItemsInList,time(ns)
0,4000
1000,46
2000,19
3000,18
4000,14
5000,17
6000,16
7000,11
8000,12
9000,23
10000,-18
11000,4
12000,16
13000,12
14000,8
15000,-2
16000,2
17000,63
18000,-1
19000,-2
20000,0
21000,0
22000,-7
23000,6
24000,-4
25000,2
26000,0
27000,1
28000,0
29000,0
30000,-24
31000,-3
32000,0
33000,3
34000,1
35000,-1
36000,3
37000,-4
38000,0
39000,-6
40000,0
41000,0
42000,-14
43000,2
44000,14
45000,2
46000,0
47000,11
48000,-1
49000,-1
50000,-2
51000,0
52000,-1
53000,0
54000,9
55000,-9
56000,-3
57000,-7
58000,3
59000,-3
60000,13
61000,0
62000,17
63000,-5
64000,2
65000,-6
66000,2
67000,-1
68000,-1
69000,-25
70000,0
71000,3
72000,-11
73000,6
74000,3
75000,-1
76000,-6
77000,0
78000,1
79000,1
80000,0
81000,3
82000,-6
83000,0
84000,-6
85000,2
86000,-5
87000,0
88000,5
89000,-1
90000,-1
91000,-3
92000,-7
93000,-2
94000,0
95000,4
96000,0
97000,2
98000,-4
99000,0
100000,0
101000,0
102000,0
103000,-11
104000,-8
105000,0
106000,-1
107000,0
108000,5
109000,0
110000,1
111000,-8
112000,-3
113000,1
114000,0
115000,0
116000,-3
117000,-3
118000,4
119000,-11
120000,0
121000,4
122000,-1
123000,-1
124000,-4
125000,0
126000,-3
127000,0
128000,-5
129000,0
130000,-2
131000,0
132000,3
133000,0
134000,0
135000,-1
136000,5
137000,-1
138000,-4
139000,-10
140000,5
141000,-1
142000,6
143000,5
144000,1
145000,-10
146000,2
147000,-1
148000,-1
149000,-1
150000,-1
151000,-5
152000,-6
153000,0
154000,0
155000,0
156000,3
157000,-4
158000,2
159000,0
160000,0
161000,-4
162000,3
163000,0
164000,0
165000,2
166000,0
167000,0
168000,-3
169000,-1
170000,-5
171000,-4
172000,-2
173000,-15
174000,5
175000,-2
176000,-3
177000,0
178000,-3
179000,10
180000,0
181000,-5
182000,0
183000,-3
184000,-1
185000,0
186000,-1
187000,8
188000,-5
189000,-4
190000,1
191000,-2
192000,0
193000,0
194000,-4
195000,-7
196000,-2
197000,-1
198000,2
199000,-3
200000,-1
201000,2
202000,8
203000,-5
204000,-2
205000,0
206000,-3
207000,0
208000,-5
209000,2
210000,-4
211000,1
212000,0
213000,-6
214000,-6
215000,4
216000,5
217000,-1
218000,-1
219000,5
220000,-2
221000,3
222000,-7
223000,-2
224000,-4
225000,-5
226000,-2
227000,4
228000,3
229000,2
230000,-5
231000,8
232000,-2
233000,3
234000,-1
235000,1
236000,0
237000,-2
238000,2
239000,-6
240000,0
241000,-4
242000,3
243000,-2
244000,2
245000,-6
246000,3
247000,-3
248000,2
249000,1
250000,0
251000,2
252000,-5
253000,6
254000,-4
255000,2
256000,0
257000,1
258000,-2
259000,-2
260000,-7
261000,0
262000,-4
263000,3
264000,-4
265000,0
266000,0
267000,2
268000,0
269000,-2
270000,-1
271000,-1
272000,-4
273000,2
274000,-4
275000,2
276000,0
277000,1
278000,-6
279000,1
280000,-1
281000,0
282000,0
283000,-1
284000,3
285000,-4
286000,1
287000,-4
288000,0
289000,-2
290000,-2
291000,-4
292000,0
293000,0
294000,0
295000,0
296000,-1
297000,-1
298000,-3
299000,0
300000,-7
301000,0
302000,1
303000,-6
304000,1
305000,-3
306000,-9
307000,-1
308000,-3
309000,-1
310000,0
311000,0
312000,0
313000,2
314000,-1
315000,3
316000,4
317000,-4
318000,1
319000,0
320000,-3
321000,1
322000,-6
323000,4
324000,2
325000,-8
326000,0
327000,2
328000,-5
329000,-7
330000,14
331000,3
332000,-6
333000,2
334000,2
335000,0
336000,-2
337000,1
338000,-5
339000,-12
340000,11
341000,0
342000,2
343000,0
344000,-1
345000,-1
346000,-1
347000,6
348000,-3
349000,-7
350000,4
351000,0
352000,4
353000,1
354000,-1
355000,-3
356000,-4
357000,2
358000,-6
359000,-3
360000,0
361000,-4
362000,4
363000,0
364000,-5
365000,1
366000,0
367000,-4
368000,-2
369000,3
370000,-1
371000,-6
372000,0
373000,0
374000,5
375000,1
376000,3
377000,-4
378000,-2
379000,2
380000,0
381000,-1
382000,0
383000,2
384000,-2
385000,-5
386000,0
387000,0
388000,0
389000,0
390000,1
391000,-3
392000,-1
393000,0
394000,-3
395000,0
396000,-3
397000,2
398000,3
399000,1
400000,-1
401000,0
402000,0
403000,-4
404000,-1
405000,-2
406000,2
407000,-1
408000,-2
409000,0
410000,-2
411000,2
412000,1
413000,1
414000,-2
415000,0
416000,-3
417000,-2
418000,-2
419000,2
420000,-2
421000,-2
422000,-5
423000,1
424000,0
425000,2
426000,-1
427000,2
428000,-1
429000,3
430000,0
431000,-2
432000,0
433000,5
434000,0
435000,5
436000,3
437000,-1
438000,-4
439000,0
440000,0
441000,-3
442000,0
443000,0
444000,-2
445000,2
446000,2
447000,3
448000,0
449000,-1
450000,-3
451000,1
452000,0
453000,2
454000,0
455000,1
456000,-1
457000,0
458000,0
459000,4
460000,0
461000,0
462000,5
463000,0
464000,-3
465000,-3
466000,-5
467000,-1
468000,-5
469000,0
470000,-1
471000,-2
472000,-1
473000,-3
474000,-2
475000,-2
476000,1
477000,-4
478000,4
479000,-2
480000,-1
481000,-7
482000,-3
483000,-1
484000,-4
485000,0
486000,-1
487000,-1
488000,-2
489000,0
490000,-2
491000,0
492000,-5
493000,0
494000,0
495000,-3
496000,0
497000,-4
498000,-2
499000,-4
500000,-2
501000,-1
502000,0
503000,2
504000,-1
505000,2
506000,0
507000,3
508000,0
