ItemsInList,time(ns)
0,3000
1000,65
2000,8
3000,19
4000,14
5000,17
6000,17
7000,8
8000,-1
9000,-63
10000,-18
11000,45
12000,-14
13000,-10
14000,9
15000,16
16000,-14
17000,40
18000,0
19000,-1
20000,5
21000,-2
22000,-3
23000,1
24000,-1
25000,-4
26000,-1
27000,0
28000,0
29000,2
30000,-6
31000,2
32000,-23
33000,-5
34000,2
35000,7
36000,0
37000,0
38000,-2
39000,-1
40000,0
41000,2
42000,-1
43000,2
44000,6
45000,14
46000,-16
47000,-3
48000,-1
49000,0
50000,-1
51000,-6
52000,-4
53000,4
54000,9
55000,10
56000,13
57000,0
58000,10
59000,5
60000,2
61000,0
62000,1
63000,10
64000,0
65000,-7
66000,1
67000,0
68000,3
69000,-1
70000,0
71000,0
72000,-13
73000,-5
74000,1
75000,4
76000,0
77000,6
78000,-1
79000,0
80000,5
81000,-1
82000,-1
83000,6
84000,-12
85000,0
86000,-8
87000,0
88000,-7
89000,0
90000,-3
91000,0
92000,-8
93000,3
94000,0
95000,4
96000,-1
97000,-2
98000,1
99000,4
100000,-3
101000,-1
102000,-2
103000,5
104000,6
105000,-1
106000,0
107000,-2
108000,-10
109000,0
110000,0
111000,-14
112000,4
113000,12
114000,0
115000,0
116000,-1
117000,2
118000,0
119000,-9
120000,0
121000,4
122000,0
123000,1
124000,0
125000,4
126000,0
127000,1
128000,0
129000,4
130000,-5
131000,0
132000,-4
133000,-4
134000,-3
135000,0
136000,-4
137000,-2
138000,-7
139000,-1
140000,14
141000,3
142000,-3
143000,5
144000,-1
145000,-8
146000,1
147000,-1
148000,0
149000,-4
150000,5
151000,0
152000,1
153000,14
154000,0
155000,0
156000,-2
157000,0
158000,5
159000,-5
160000,3
161000,-2
162000,-2
163000,4
164000,0
165000,-2
166000,-4
167000,-3
168000,-10
169000,-1
170000,-2
171000,6
172000,-5
173000,-3
174000,7
175000,-4
176000,-3
177000,0
178000,-9
179000,-3
180000,-1
181000,-7
182000,2
183000,-5
184000,-7
185000,-1
186000,-1
187000,-7
188000,-7
189000,-1
190000,1
191000,-1
192000,-7
193000,4
194000,-1
195000,0
196000,2
197000,-9
198000,-4
199000,-1
200000,2
201000,2
202000,2
203000,-2
204000,0
205000,-2
206000,2
207000,2
208000,-1
209000,2
210000,-11
211000,-1
212000,-2
213000,-2
214000,5
215000,3
216000,1
217000,0
218000,-8
219000,0
220000,-4
221000,-1
222000,-2
223000,5
224000,0
225000,3
226000,4
227000,7
228000,-2
229000,0
230000,-7
231000,-1
232000,-1
233000,2
234000,-4
235000,0
236000,0
237000,-7
238000,-3
239000,-7
240000,0
241000,-7
242000,1
243000,-3
244000,4
245000,-14
246000,3
247000,-2
248000,-1
249000,0
250000,-4
251000,-2
252000,-8
253000,-1
254000,-3
255000,-1
256000,2
257000,5
258000,0
259000,2
260000,0
261000,4
262000,-1
263000,5
264000,-3
265000,2
266000,-5
267000,3
268000,-1
269000,1
270000,3
271000,2
272000,-1
273000,1
274000,-1
275000,1
276000,0
277000,5
278000,-3
279000,-2
280000,-6
281000,-1
282000,-4
283000,0
284000,-1
285000,-4
286000,1
287000,-2
288000,3
289000,4
290000,1
291000,-3
292000,-1
293000,-3
294000,2
295000,0
296000,0
297000,-4
298000,2
299000,5
300000,-5
301000,1
302000,-6
303000,-4
304000,4
305000,-2
306000,-1
307000,1
308000,-1
309000,-6
310000,0
311000,-1
312000,-2
313000,1
314000,-3
315000,-4
316000,-5
317000,0
318000,5
319000,-5
320000,-1
321000,2
322000,-2
323000,0
324000,-2
325000,-2
326000,2
327000,-1
328000,0
329000,4
330000,0
331000,0
332000,-1
333000,0
334000,-6
335000,0
336000,3
337000,1
338000,-2
339000,0
340000,-1
341000,-2
342000,3
343000,0
344000,-1
345000,-4
346000,0
347000,0
348000,-4
349000,-2
350000,3
351000,-4
352000,-13
353000,1
354000,-2
355000,-2
356000,1
357000,0
358000,2
359000,0
360000,4
361000,0
362000,0
363000,-2
364000,-3
365000,1
366000,3
367000,-1
368000,0
369000,1
370000,-1
371000,-2
372000,2
373000,-2
374000,-8
375000,0
376000,-4
377000,-1
378000,0
379000,6
380000,-4
381000,-3
382000,2
383000,0
384000,-2
385000,-1
386000,3
387000,-1
388000,0
389000,0
390000,-2
391000,-3
392000,-4
393000,2
394000,0
395000,0
396000,0
397000,-1
398000,3
399000,-3
400000,-1
401000,-2
402000,1
403000,-1
404000,2
405000,3
406000,3
407000,-4
408000,-2
409000,2
410000,0
411000,-1
412000,-5
413000,-1
414000,0
415000,3
416000,-2
417000,2
418000,3
419000,0
420000,-3
421000,0
422000,-1
423000,0
424000,3
425000,-1
426000,0
427000,-3
428000,0
429000,-3
430000,-4
431000,-4
432000,0
433000,-3
434000,4
435000,-2
436000,-3
437000,-3
438000,0
439000,-1
440000,0
441000,-2
442000,0
443000,-3
444000,5
445000,1
446000,2
447000,-4
448000,-2
449000,-4
450000,-1
451000,-3
452000,1
453000,-3
454000,-1
455000,-2
456000,0
457000,-1
458000,3
459000,0
460000,0
461000,-2
462000,-1
463000,-5
464000,0
465000,-1
466000,0
467000,3
468000,-1
469000,2
470000,-3
471000,-1
472000,-4
473000,-1
474000,-2
475000,-4
476000,-2
477000,0
478000,-1
479000,-2
480000,0
481000,0
482000,2
483000,0
484000,2
485000,-3
486000,3
487000,0
488000,2
489000,1
490000,-2
491000,-1
492000,-4
493000,-2
494000,-3
495000,0
496000,-3
497000,-1
498000,-2
499000,0
500000,1
501000,0
502000,4
503000,-4
504000,-3
505000,-1
506000,-2
507000,-1
508000,-3
509000,0
510000,-2
511000,-1
512000,-2
513000,0
514000,3
515000,0
516000,0
517000,-6
518000,0
519000,0
520000,0
521000,0
522000,-1
523000,0
524000,0
525000,2
526000,5
527000,0
528000,1
529000,0
530000,0
531000,1
532000,-3
533000,2
534000,-2
535000,4
536000,3
537000,0
538000,0
539000,-3
540000,0
541000,1
542000,0
543000,1
544000,3
545000,0
546000,0
547000,-7
548000,-1
549000,-1
550000,-4
551000,-3
552000,1
553000,-2
554000,0
555000,-3
556000,-3
557000,-1
558000,-4
559000,-1
560000,1
561000,-1
562000,2
563000,-1
564000,0
565000,3
566000,0
567000,0
568000,1
569000,-4
570000,-3
571000,1
572000,-2
573000,0
574000,0
575000,-2
576000,9
577000,0
578000,0
579000,1
580000,-1
581000,-1
582000,0
583000,-3
584000,-2
585000,-2
586000,-2
587000,1
588000,2
589000,-5
590000,0
591000,1
592000,-2
593000,-2
594000,-1
595000,-5
596000,2
597000,2
598000,-2
599000,0
600000,1
601000,-4
602000,-2
603000,3
604000,0
605000,0
606000,0
607000,-3
608000,2
609000,0
610000,-3
611000,-1
612000,4
613000,2
614000,-4
615000,-3
616000,3
617000,-5
618000,0
619000,3
620000,-1
621000,-2
622000,-2
623000,2
624000,-2
625000,-2
626000,0
627000,-2
628000,-2
629000,5
630000,1
631000,-1
632000,-3
633000,0
634000,-1
635000,-1
636000,0
637000,-1
638000,-4
639000,0
640000,2
641000,-6
642000,-3
643000,0
644000,2
645000,-1
646000,0
647000,0
648000,0
649000,0
650000,0
651000,1
652000,-3
653000,-2
654000,1
655000,0
656000,-3
657000,0
658000,0
659000,0
660000,-2
661000,-2
662000,1
663000,2
664000,-2
665000,-2
666000,6
667000,0
668000,-2
669000,-2
670000,-1
671000,1
672000,-2
673000,-2
674000,0
675000,0
676000,-1
677000,-3
678000,1
679000,-3
680000,-1
681000,0
682000,-1
683000,-1
684000,2
685000,-2
686000,0
687000,0
688000,1
689000,-6
690000,-3
691000,1
692000,0
693000,0
694000,-2
695000,-1
696000,0
697000,-1
698000,-1
699000,0
700000,0
701000,4
702000,2
703000,-1
704000,0
705000,0
706000,-1
707000,0
708000,-2
709000,-2
