ItemsInList,time(ns)
0,1191500
10,630
20,115
30,173
40,105
50,-70
60,191
70,108
80,357
90,145
100,44
110,51
120,90
130,77
140,86
150,38
160,65
170,45
180,50
190,60
200,61
210,8
220,9
230,45
240,159
250,97
260,35
270,97
280,198
290,152
300,59
310,55
320,97
330,337
340,39
350,43
360,61
370,31
380,32
390,55
400,60
410,61
420,65
430,31
440,34
450,46
460,37
470,43
480,40
490,17
500,25
510,67
520,34
530,-5
540,44
550,48
560,57
570,110
580,59
590,-52
600,31
610,114
620,4813
630,34
640,4
650,113
660,81
670,-3
680,51
690,107
700,18
710,98
720,170
730,73
740,50
750,78
760,44
770,32
780,33
790,49
800,36
810,52
820,48
830,141
840,71
850,60
860,65
870,59
880,14
890,16
900,-38
910,92
920,12
930,4
940,1
950,2
960,62
970,-55
980,44
990,-1
