peek() time (ns);add() Best Case time (ns);add() Worst Case time (ns);extractMax() Best Case time (ns);extractMax() Worst Case time (ns)
3699;2628850;2194749;2303700;1567950
750;501949;1629850;943349;127600
50;987300;1176450;511150;173500
200;280849;1055249;172199;284450
99;281750;1069750;154350;217050
50;862750;2195650;-710100;103400
4449;302749;2124600;-2050;86899
149;254150;2170800;12500;101250
199;221600;2008600;-72049;1252900
450;227250;2128500;1007550;1243100
200;555500;1387350;1207250;1088750
700;548850;1482550;-22249;1244100
2499;545850;1416600;-135300;1215450
250;569900;1485750;1185250;1243600
199;491449;1460300;1281799;1382700
549;520550;1341300;-67950;58850
250;496250;1336850;31701;5150
599;588550;1322750;-22749;191750
250;473800;1279000;207350;138050
150;499250;1288349;160600;183800
151;478050;1315650;113750;143349
350;496400;1286950;-167350;60500
500;502200;1276550;-208900;35750
1550;554450;1294750;-68449;249500
200;477800;1314400;-220200;191400
200;481350;1298250;-138599;177750
200;514850;1248999;-51301;199200
299;490700;1328249;-29550;244050
200;483900;1376750;32250;58400
150;492200;1258850;109600;27800
151;482100;1318650;224349;66700
400;480900;1281850;154749;38450
200;472549;1242900;80950;62000
149;467800;1291150;114950;54649
200;470500;1266600;195650;59999
250;462799;1308300;156400;64700
200;479650;1294350;109600;105349
100;555700;1344500;260900;11500
200;553400;1406200;210150;-474450
450;212250;1023949;127000;54950
450;214099;1004550;125900;56400
250;205550;999450;108300;56300
200;217400;1024000;209001;65350
399;591050;1224199;145250;52150
200;230300;1002850;132450;59100
3049;207300;995150;124799;44200
50;212950;1061850;199649;58399
0;207700;1022100;150350;63701
-50;209150;1028450;208250;49950
50;213149;1006000;188050;54100
100;219499;1008949;179799;56100
50;209050;1020200;128700;64900
50;213800;1027000;158000;59199
50;210500;1057900;99550;54150
50;216700;1027099;222299;65799
49;208100;1034550;180200;57400
50;209899;1022450;111599;66050
200;207250;1002650;186501;50751
-50;210599;1020799;186400;66600
-50;229749;1059699;175600;57401
49;211900;1000200;39450;69299
0;207800;1004649;171050;50700
50;212199;1005799;165700;67999
50;207650;1035800;159500;87350
100;223600;1038050;159450;59600
50;206600;1019100;175550;57101
99;208949;1012600;156600;65300
250;209699;1052149;149350;54000
0;211550;1004799;91400;51650
