peek() time (ns),add() Best Case time (ns),add() Worst Case time (ns),extractMax() Best Case time (ns),extractMax() Worst Case time (ns),Items (n), logn,nlogn
18600,51694800,231129250,9776750,19796750,0,-Infinity,NaN
6050,60745850,204349000,29343600,32395700,1000,3.0,3000.0
2400,83726850,200728250,-65425500,-2833800,2000,3.3010299956639813,6602.059991327962
12800,64731250,205482600,-11722250,-8812300,3000,3.4771212547196626,10431.363764158988
1250,25846350,223346500,-2827750,-79507350,4000,3.6020599913279625,14408.23996531185
12250,34554000,201427500,-8381700,-78069700,5000,3.6989700043360187,18494.850021680093
13500,24835150,192098450,70869550,10600800,6000,3.7781512503836434,22668.90750230186
14400,56275200,223168500,-50888900,-27589700,7000,3.845098040014257,26915.6862800998
13200,46220250,197035750,41629000,28705150,8000,3.9030899869919438,31224.719895935552
13150,56165550,229059750,-7728150,-35748450,9000,3.9542425094393248,35588.182584953924
13100,72755900,199769950,16118900,71401750,10000,4.0,40000.0
14300,43179350,207279650,-42979100,9696650,11000,4.041392685158225,44455.31953674048
13250,27148200,281352850,25830350,21425950,12000,4.079181246047625,48950.1749525715
13400,23809000,203579300,105573650,-2932150,13000,4.113943352306837,53481.26357998888
12700,89487200,238705950,47167450,-51801350,14000,4.146128035678238,58045.792499495336
1400,26975100,268549100,-4470950,-2934500,15000,4.176091259055681,62641.36888583522
1350,34339100,206339600,-32051000,12413000,16000,4.204119982655925,67265.9197224948
1150,73929850,208304450,42047250,-54777950,17000,4.230448921378274,71917.63166343066
1200,23852900,251564100,-52603350,-47754850,18000,4.2552725051033065,76594.90509185952
1350,34315600,219938250,-43159250,-33185400,19000,4.278753600952829,81296.31841810375
1200,26234100,251456250,-31794200,21970000,20000,4.301029995663981,86020.59991327963
4050,63873800,254432850,48718750,-50622000,21000,4.3222192947339195,90766.60518941231
1200,65301900,222436300,-7825150,-40637100,22000,4.342422680822207,95533.29897808854
1000,70969600,232535850,49127900,46029650,23000,4.361727836017593,100319.74022840464
1200,33095500,206997150,52559300,-48407500,24000,4.380211241711606,105125.06980107856
1450,33682050,206630150,52570350,-3104550,25000,4.3979400086720375,109948.50021680094
1150,51610400,217079750,-28913350,-48475650,26000,4.414973347970818,114789.30704724128
1350,29941450,249519650,27420400,34982700,27000,4.431363764158987,119646.82163229265
950,27961450,249881500,24713300,-59233550,28000,4.447158031342219,124520.42487758215
950,37167950,208293300,70360500,7231900,29000,4.4623979978989565,129409.54193906974
1150,28686950,262020500,50905550,40814500,30000,4.477121254719663,134313.63764158988
1350,44125300,219105550,48218250,-51843550,31000,4.491361693834273,139232.21250886246
1350,26913050,243782800,70665200,16256750,32000,4.505149978319906,144164.799306237
1350,48810600,212846850,-33605850,-56503550,33000,4.518513939877887,149110.96001597028
1550,31774150,203760000,79675650,38100900,34000,4.531478917042255,154070.2831794367
1050,32357300,268022500,61906150,19889850,35000,4.544068044350276,159042.38155225964
1150,71089400,217301650,24185800,36351750,36000,4.556302500767287,164026.8900276223
1050,62514850,237008200,26577700,52494150,37000,4.568201724066995,169023.46379047883
1150,71035100,230186750,50585800,37540600,38000,4.57978359661681,174031.7766714388
1450,55320600,206466650,96856350,34613550,39000,4.5910646070264995,179051.51967403348
1000,34878000,218052050,70940100,-4018950,40000,4.6020599913279625,184082.3996531185
1150,76470450,225991650,-4061949,23171100,41000,4.6127838567197355,189124.13812550914
1301,73713650,213561700,14391700,-15119300,42000,4.623249290397901,194176.47019671183
4200,41239000,215294450,22054801,81576000,43000,4.633468455579586,199239.1435899222
200,24907450,205890249,66827850,20114100,44000,4.643452676486188,204311.91776539225
300,35396099,207152500,82365600,-3637899,45000,4.653212513775344,209394.5631198905
300,47625750,247701150,37326000,-56778351,46000,4.662757831681574,214486.8602573524
299,43953400,219133950,59406299,29068300,47000,4.672097857935717,219588.5993229787
300,24591350,265574950,53704800,27342400,48000,4.681241237375588,224699.5793940282
349,38852149,218580649,-60384400,7989900,49000,4.690196080028514,229819.60792139717
399,72208500,223303150,-35964049,352750,50000,4.698970004336019,234948.50021680092
150,81879350,216916550,-34023751,-8157299,51000,4.707570176097937,240086.07898099476
300,50012700,224360300,84169051,-46076450,52000,4.7160033436347994,245232.17386900957
300,34427050,250787150,47992900,-44484300,53000,4.724275869600789,250386.6210888418
249,34002950,206683901,69263399,14696550,54000,4.732393759822968,255549.26303044028
250,76520599,205361750,56041850,-2392101,55000,4.740362689494244,260719.94792218343
300,31945550,201097200,89519950,-68566650,56000,4.748188027006201,265898.52951234725
100,24579850,205016850,73121349,33913601,57000,4.7558748556724915,271084.866773332
250,34560450,270292150,37656350,-2823349,58000,4.763427993562937,276278.8236266503
400,33055299,222571350,20211750,-113133800,59000,4.770852011642144,281480.26868688647
300,27186999,203016550,82642750,29642700,60000,4.778151250383644,286689.07502301864
300,24743750,204218949,80030650,39603649,61000,4.785329835010767,291905.1199356568
350,27266950,261426250,26737200,-1842350,62000,4.7923916894982534,297128.2847488917
