n,withGrammar (ns),withoutGrammar(ns)
1,950,834
11,4966,5394
21,9538,9875
31,13677,14396
41,18281,19439
51,22841,24206
61,31157,30127
71,34505,35134
81,37844,39567
91,41027,45596
101,46898,52134
111,52550,57709
121,57561,61880
131,63705,71739
141,70502,74733
151,77682,82519
161,80832,90858
171,87443,98043
181,91549,106006
191,100190,112592
201,97475,121626
211,111834,125291
221,117851,134974
231,114808,144172
241,131792,155132
251,136267,156207
261,144536,174184
271,150586,175010
281,146829,185084
291,144093,190535
301,154744,197133
311,162544,207927
321,173829,225626
331,186972,228173
341,195579,226768
351,207981,242541
361,203576,251580
371,210588,259346
381,227164,268911
391,220035,299480
401,242830,287639
411,234935,296393
421,264394,306064
431,249833,312822
441,265988,329468
451,279484,349982
461,289972,350397
471,374391,469300
481,382293,430182
491,395424,423565
501,319037,392483
511,312874,423274
521,332631,421109
531,331800,422412
541,331310,438086
551,339097,451024
561,366546,463836
571,390571,492757
581,382306,489221
591,370388,485310
601,375706,504353
611,415821,522658
621,482247,508781
631,387342,534998
641,410101,579901
651,433426,558794
661,419179,559590
671,436226,612322
681,436356,578642
691,438233,632888
701,458120,604216
711,475409,641460
721,496996,765636
731,575305,805497
741,502817,673743
751,508449,675036
761,508979,693833
771,517306,723894
781,477723,746626
791,522222,728786
801,539538,733349
811,556686,755850
821,520000,802011
831,535895,777207
841,565032,799219
851,638713,1005102
861,653500,823571
871,587513,844711
881,611178,844513
891,637440,908003
901,624239,989199
911,586981,936781
921,584471,946478
931,576620,947657
941,592920,975661
951,604264,981549
961,631913,985499
971,666306,981050
981,683455,977362
991,678423,1048126
