DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
4409,2351,6423,1060,1870,3852,1363,randomGenerateMaze1
6332,6124,4809,81,2821,6050,2470,randomGenerateMaze2
5400,4251,569,924,1059,4280,4682,randomGenerateMaze3
1091,5114,3680,698,705,1728,5464,randomGenerateMaze4
6161,5925,3309,638,942,582,6367,randomGenerateMaze5
746,5965,4853,2160,2330,1007,3455,randomGenerateMaze6
1959,2523,4104,2254,2711,5933,1778,randomGenerateMaze7
6282,869,4790,5987,3897,6394,1776,randomGenerateMaze8
703,4854,4683,37,74,373,665,randomGenerateMaze9
3536,5691,3962,3850,3716,4155,3229,randomGenerateMaze10
2335,931,4170,4683,5643,5377,5983,randomGenerateMaze11
3600,2650,1639,3773,3640,5137,4289,randomGenerateMaze12
2531,3703,6016,6306,5891,5917,1392,randomGenerateMaze13
1735,1564,3559,2296,1516,6184,1487,randomGenerateMaze14
6091,1440,1925,5907,4592,4954,5629,randomGenerateMaze15
3377,5918,1153,6123,5646,5186,2395,randomGenerateMaze16
1826,6044,4135,3357,2856,4734,3158,randomGenerateMaze17
1988,2933,1893,1825,1956,1304,4268,randomGenerateMaze18
514,2567,5399,3282,2126,1967,896,randomGenerateMaze19
675,4542,5432,5709,6192,2424,1920,randomGenerateMaze20
3490,4327,1496,6090,2197,5574,3567,randomGenerateMaze21
2115,5366,317,537,2404,409,3319,randomGenerateMaze22
2744,5713,2303,5396,3059,3427,2915,randomGenerateMaze23
1538,192,2572,4919,4442,3369,720,randomGenerateMaze24
1830,5852,5108,6034,6065,1404,3509,randomGenerateMaze25
1453,2610,4603,221,700,767,5444,randomGenerateMaze26
2124,6428,3687,4620,4272,4004,1519,randomGenerateMaze27
1527,2316,3918,3455,2755,2089,2615,randomGenerateMaze28
9,9,9,9,9,9,9,randomGenerateMaze29
5765,2693,3818,2205,2719,1038,1696,randomGenerateMaze30
2283,2934,2283,6332,5501,1357,4136,randomGenerateMaze31
2703,1316,1892,4782,6518,3423,962,randomGenerateMaze32
5960,5386,4014,6238,6406,1054,5692,randomGenerateMaze33
3293,3354,5155,2428,4185,5743,2354,randomGenerateMaze34
1856,3103,6154,5961,5132,3600,2924,randomGenerateMaze35
594,1340,4854,4099,3515,1667,4565,randomGenerateMaze36
636,1955,4540,3470,3298,1128,5167,randomGenerateMaze37
1633,3459,2252,1773,5698,1468,1252,randomGenerateMaze38
2076,1286,4204,3353,3733,2257,4449,randomGenerateMaze39
185,1117,3989,4725,4647,3248,4851,randomGenerateMaze40
4589,1033,6361,4370,222,5153,1223,randomGenerateMaze41
4,4,4,4,4,4,4,randomGenerateMaze42
1494,934,6152,4790,6424,84,1166,randomGenerateMaze43
1729,4214,3562,6464,6467,2936,3290,randomGenerateMaze44
5568,6024,1138,3176,5011,3734,3824,randomGenerateMaze45
5476,1795,2567,4104,2045,3862,2585,randomGenerateMaze46
2538,4294,43,900,1327,386,679,randomGenerateMaze47
4069,936,4741,5642,2323,2362,4961,randomGenerateMaze48
6520,6520,6520,6520,6520,6520,6520,randomGenerateMaze49
4250,4424,1125,854,798,2132,5794,randomGenerateMaze50
1304,1900,4568,3878,4710,2136,867,randomGenerateMaze51
362,2007,1173,2660,4212,6290,648,randomGenerateMaze52
4734,3969,5981,1184,1230,3587,6373,randomGenerateMaze53
3977,3263,5936,3055,2258,5756,4887,randomGenerateMaze54
198,1724,4944,4189,2861,2317,1182,randomGenerateMaze55
3085,379,878,5669,5397,5156,6297,randomGenerateMaze56
3728,4328,1098,1369,2611,2667,3674,randomGenerateMaze57
3187,5425,1692,6267,5849,2058,2414,randomGenerateMaze58
6488,2112,4074,3776,2396,6049,1007,randomGenerateMaze59
3963,249,5462,5475,5429,5220,6261,randomGenerateMaze60
5126,3882,6303,2964,2074,3125,3692,randomGenerateMaze61
4650,5221,6467,6230,1002,5544,4039,randomGenerateMaze62
6154,3039,6008,2330,3384,6029,2105,randomGenerateMaze63
4699,1513,4906,3019,2332,4313,6492,randomGenerateMaze64
833,1381,4814,1339,1084,4986,4951,randomGenerateMaze65
3271,3357,6498,16,27,6620,168,randomGenerateMaze66
3770,4086,1321,1976,4018,4028,3204,randomGenerateMaze67
2211,3053,3269,6229,5747,3240,2328,randomGenerateMaze68
2791,6310,4774,4103,2250,1550,4587,randomGenerateMaze69
5039,2619,100,1492,1319,791,4374,randomGenerateMaze70
5244,2871,6516,2407,5926,2220,4989,randomGenerateMaze71
2590,4883,1907,926,1600,5676,1101,randomGenerateMaze72
6102,5249,6288,823,1053,156,3052,randomGenerateMaze73
2202,504,3226,3678,3914,2306,3884,randomGenerateMaze74
1006,2148,4665,4182,4459,2315,5340,randomGenerateMaze75
3759,1478,6130,4015,3921,4047,5698,randomGenerateMaze76
2885,4510,3703,3876,4022,6068,4392,randomGenerateMaze77
3486,4530,6524,5374,5427,469,2029,randomGenerateMaze78
1757,3859,4457,1983,4284,2522,5191,randomGenerateMaze79
5319,5250,6517,6287,2276,3467,6523,randomGenerateMaze80
4307,4687,1102,2452,2051,3179,3656,randomGenerateMaze81
5225,3235,2930,1688,2169,5264,3152,randomGenerateMaze82
240,674,2379,3639,4238,2279,5566,randomGenerateMaze83
348,1139,5757,5926,4109,2084,6480,randomGenerateMaze84
