DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,PathLength,MazeSolved
1652,1472,374,1086,872,1201,853,25,randomGenerateMaze1
83,170,1004,151,180,2169,384,18,randomGenerateMaze2
1790,2970,1619,1687,1174,270,2885,67,randomGenerateMaze3
536,3286,398,567,155,1335,601,27,randomGenerateMaze4
2697,810,505,3998,2801,4295,1438,52,randomGenerateMaze5
980,656,1034,3590,2015,1552,829,33,randomGenerateMaze6
1410,1344,879,529,394,821,308,17,randomGenerateMaze7
168,1110,2835,1056,706,3825,904,29,randomGenerateMaze8
1938,256,478,5009,533,1316,1015,46,randomGenerateMaze9
56,816,3969,730,706,1879,944,31,randomGenerateMaze10
239,1733,74,1650,1688,95,1417,51,randomGenerateMaze11
14,1809,2075,231,294,14,60,9,randomGenerateMaze12
3104,754,1687,1528,3309,3827,2615,72,randomGenerateMaze13
1591,1581,83,822,906,958,418,19,randomGenerateMaze14
1950,1281,1162,743,1566,2039,1128,34,randomGenerateMaze15
2523,341,434,2454,858,1812,2510,48,randomGenerateMaze16
2692,5447,121,1638,1597,1584,1474,47,randomGenerateMaze17
1411,313,2054,1164,2502,701,839,40,randomGenerateMaze18
503,1980,1059,853,1139,883,1036,30,randomGenerateMaze19
752,72,674,1222,273,1370,81,10,randomGenerateMaze20
2338,226,2504,377,1354,920,1470,47,randomGenerateMaze21
1485,226,529,3248,3164,832,2256,49,randomGenerateMaze22
95,1231,406,642,1042,466,2452,70,randomGenerateMaze23
1184,509,1510,3659,2995,605,1040,30,randomGenerateMaze24
54,735,4336,646,1617,812,2091,43,randomGenerateMaze25
197,655,92,182,215,168,1631,54,randomGenerateMaze26
223,1032,191,266,1365,2203,1904,66,randomGenerateMaze27
488,2739,1078,553,488,1039,150,17,randomGenerateMaze28
353,1360,4246,2149,2119,591,4098,89,randomGenerateMaze29
186,577,1665,1213,1449,584,2587,83,randomGenerateMaze30
1,1,1,1,1,1,1,-1,randomGenerateMaze31
1633,1606,727,1221,268,4204,770,35,randomGenerateMaze32
1217,2876,1305,569,831,3497,2811,76,randomGenerateMaze33
2103,1035,2074,1675,1246,583,2471,79,randomGenerateMaze34
462,543,43,2881,4000,3969,1005,34,randomGenerateMaze35
466,532,1314,628,579,528,466,21,randomGenerateMaze36
1867,15,86,126,170,311,108,9,randomGenerateMaze37
1600,4706,11,759,1025,591,141,9,randomGenerateMaze38
330,254,913,3444,3270,3698,643,27,randomGenerateMaze39
2428,1110,482,1276,834,337,476,20,randomGenerateMaze40
881,1911,821,1396,503,1452,524,24,randomGenerateMaze41
602,1592,4167,548,592,778,1063,30,randomGenerateMaze42
623,1019,16,327,1173,21,145,14,randomGenerateMaze43
1240,1497,548,1292,1233,3574,2518,63,randomGenerateMaze44
187,1619,71,178,216,273,1699,61,randomGenerateMaze45
86,319,1383,2540,1325,2518,1456,35,randomGenerateMaze46
1668,73,2795,4182,3328,2988,2126,48,randomGenerateMaze47
2719,343,156,860,1021,1477,2413,51,randomGenerateMaze48
358,768,2437,738,921,1650,276,16,randomGenerateMaze49
3288,1798,1050,2991,2797,1237,492,27,randomGenerateMaze50
31,49,49,141,151,31,101,27,bigMulti
