ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns)
1,1730,3030,500
2,1140,1270,1000
3,3240,3420,1520
4,2410,4210,1850
5,3580,4750,2870
6,7620,4080,3260
7,5840,4970,3760
8,8810,3430,3030
9,4310,4100,3250
10,9000,2870,2150
11,2500,2210,1870
12,2700,2990,1970
13,4080,2010,1910
14,1770,1420,970
15,1940,1560,1080
16,2230,1740,1190
17,2520,1910,1280
18,2770,2200,1410
19,3490,2310,1480
20,3390,2540,1400
21,3660,2740,1610
22,3960,3110,1480
23,4410,3250,1550
24,4790,3620,5600
25,11880,3990,1790
26,5680,4260,2030
27,6000,4590,2020
28,6590,4910,2320
29,1310,1360,840
30,1280,1310,940
31,2150,1450,870
32,1370,1440,920
33,1410,1470,950
34,1480,1530,930
35,1520,3990,2700
36,1600,1690,1090
37,1780,1880,1680
38,1790,4340,1060
39,-1770,1960,1080
40,2020,1990,2640
41,1840,2110,1040
42,1970,2200,1060
43,2140,2230,1060
44,2290,2360,1110
45,2390,2540,1170
46,2530,2780,1380
47,2710,2900,1300
48,2890,3120,2640
49,3060,3120,1210
50,3190,3140,1340
51,3340,3300,1360
52,3460,3430,1420
53,3710,5040,1500
54,3780,3770,1540
55,3970,4000,1520
56,4180,4220,1620
57,4350,4450,1540
58,4550,4680,1590
59,4800,8350,1550
60,4910,5060,1540
61,5140,5300,1740
62,5350,5580,1870
63,5610,5820,1700
64,5750,5980,1740
65,6160,6370,3230
66,6190,6630,1800
67,6600,6770,1800
68,6730,7190,1560
69,5910,6040,1280
70,6040,6280,1130
71,6270,6440,1170
72,6520,8060,1140
73,6720,6940,1090
74,6940,7230,1170
75,7200,7520,1110
76,7470,7840,1260
77,7780,8000,1240
78,8020,8320,1250
79,8290,8630,1220
80,8720,8880,1410
81,8840,9190,1190
82,9340,11050,1530
83,9480,11140,1190
84,9680,10100,1380
85,10360,10390,1380
86,11760,10770,1500
87,10570,11010,1440
88,10880,11370,1330
89,11360,11780,1360
90,11480,12070,1540
91,11780,12490,1660
92,12100,12860,1630
93,12430,13020,1710
94,12820,13400,1600
95,13130,18660,3760
96,15490,14480,1690
97,14470,18500,1700
98,19430,15130,1630
99,14840,15520,1630
100,15160,16360,1740
101,15950,16640,1860
102,16300,23270,5200
103,32130,36730,3410
104,25220,18500,3690
105,31540,42660,4760
106,20410,21940,2460
107,19280,24050,3710
108,32250,41550,6610
109,32010,32020,1930
110,19150,20220,1970
111,19550,20380,2130
112,24210,23260,4130
113,19860,20780,2000
114,20350,21410,2060
115,21100,21900,2240
116,21130,22060,2050
117,21550,22630,2080
118,21710,23150,2010
119,22420,23600,2170
