Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
0,150,0,50,0,100,0,700,0,-250,0,400,0
100,98750,0,88050,3,141200,10,50000,0,50000,0,116300,0
200,61650,100,48500,48,60450,34,49950,0,59900,0,74050,0
300,84400,100,53250,49,91000,83,131450,0,123100,0,152750,0
400,109900,100,58900,76,105800,83,124550,0,119750,0,135500,0
500,121850,100,61250,38,103000,10,229600,0,223000,0,246850,0
600,101800,100,46800,62,84750,11,205100,0,189250,0,234000,0
700,93150,100,34050,62,104250,100,231050,0,256800,0,253550,0
800,114650,100,46800,85,116450,100,198850,0,1376500,0,211950,0
900,130700,100,44300,42,132100,100,310950,0,197100,0,294900,0
1000,134050,100,48250,51,132300,100,230000,0,196400,0,249900,0
1100,167250,100,52200,101,150650,190,242850,0,200100,0,220200,0
1200,205200,100,101650,158,162800,290,188450,0,215450,0,280200,0
1300,207250,100,76400,208,179700,390,380800,0,295750,0,364550,0
1400,233150,100,77650,260,194350,451,287700,0,1077650,0,180150,0
1500,229750,100,71200,316,182800,451,203350,0,138600,0,179700,0
1600,248350,100,82800,366,191750,451,204500,0,119750,0,175750,0
1700,271000,100,77500,417,204300,451,262250,0,192700,0,194450,0
1800,354900,100,112450,243,189150,0,399200,0,260200,0,283800,0
1900,447700,100,191750,274,263250,0,661200,0,423200,0,475650,0
2000,471100,100,139300,299,226000,0,604200,0,403450,0,431000,0
2100,439850,100,140550,324,186700,0,643050,0,434150,0,516200,0
2200,484500,100,114350,353,205950,0,689600,0,614200,0,534250,0
2300,526900,100,135000,382,224550,10,1026300,0,608200,0,544500,0
2400,656350,100,191200,407,259150,10,702450,0,617450,0,603800,0
2500,651300,100,168000,432,249600,10,828500,0,526650,0,616550,0
2600,742700,100,163700,463,267050,10,1245400,0,502900,0,688300,0
2700,850750,100,199750,488,311100,31,754250,0,405850,0,519750,0
2800,772500,100,165350,513,286800,100,482650,0,243750,0,330400,0
2900,783250,100,152650,542,292950,100,497500,0,253750,0,324700,0
3000,811100,100,149700,571,294800,100,515150,0,248750,0,331750,0
3100,847750,100,154400,596,308800,100,534050,0,311650,0,400500,0
3200,919450,100,170400,621,324100,132,557850,0,257150,0,339400,0
3300,958750,100,163700,654,330450,232,597000,0,301150,0,353600,0
3400,1031050,100,172850,679,350900,332,615750,0,261600,0,348250,0
3500,1074650,100,226650,369,390600,900,992200,0,667350,0,556550,0
3600,1129250,100,267400,394,393850,900,1014650,0,555250,0,557650,0
3700,1215800,100,231100,407,402900,900,1073500,0,528800,0,549800,0
3800,1268250,100,255650,407,417650,900,1062600,0,555850,0,592450,0
3900,1317750,100,229850,407,423650,900,1093650,0,521950,0,563400,0
4000,1389300,100,238700,407,442150,900,1148850,0,528200,0,566500,0
4100,1462300,100,241550,407,444900,900,1170100,0,571550,0,623350,0
4200,1525500,100,246350,407,460900,900,1195500,0,532450,0,588600,0
4300,1609900,100,234550,407,474300,932,1303400,0,580800,0,598150,0
4400,1682550,100,250100,434,479650,990,1292950,0,559600,0,584400,0
4500,2936850,100,242900,459,491450,990,1344850,0,552650,0,618950,0
4600,1825400,100,245350,484,504300,990,1377750,0,571050,0,618950,0
4700,1909750,100,254100,509,504900,990,1420350,0,536750,0,603700,0
4800,1984400,100,265750,534,518200,990,1490550,0,563000,0,614150,0
4900,2105700,100,255550,559,533150,990,1557550,0,549000,0,617300,0
5000,2141750,100,255350,584,562600,990,1537500,0,585250,0,639150,0
5100,2319600,100,258250,595,540300,990,1587300,0,556050,0,646600,0
5200,2339650,100,262550,595,572600,990,1642650,0,541750,0,638800,0
5300,2383900,100,271450,595,574550,990,1655350,0,523100,0,663150,0
5400,2544500,100,266550,595,584750,990,1766800,0,569400,0,637900,0
5500,2717900,100,262400,595,591150,990,1770700,0,529250,0,630400,0
