n,Ours,Javas
0,0,150
100,24600,12050
200,53650,7400
300,26000,10150
400,39950,12500
500,45000,19500
600,54700,19600
700,71500,24850
800,61950,28600
900,62500,27000
1000,79550,39700
1100,71250,34400
1200,80050,39600
1300,91400,34250
1400,93200,30400
1500,90700,35600
1600,113100,33100
1700,88050,11450
1800,92700,9550
1900,102450,11350
2000,106850,3150
2100,116100,11550
2200,92000,11300
2300,95600,12350
2400,101750,13100
2500,113050,13050
2600,113050,2350
2700,125650,-1950
2800,136650,15600
2900,138900,-6250
3000,141950,16750
3100,156300,16900
3200,156950,17300
3300,162650,18450
3400,178150,18550
3500,180700,1150
3600,199400,73600
3700,200100,67150
3800,205050,66400
3900,216600,64150
4000,221250,68000
4100,259550,76700
4200,245550,68750
4300,258100,70800
4400,210800,65750
4500,264250,74150
4600,260000,30700
4700,256650,26900
4800,273450,27700
4900,268250,28350
5000,279700,29450
5100,286150,29600
5200,279900,30500
5300,285650,30900
5400,308850,31000
5500,298100,31850
5600,300750,32450
5700,326600,33550
5800,324900,35050
5900,350750,35400
6000,335900,38200
6100,336300,37550
6200,348450,37200
6300,349000,36000
6400,350700,36900
6500,367700,38050
6600,366800,38400
6700,382400,38100
6800,381250,38850
6900,403450,40150
7000,371450,40750
7100,373950,41300
7200,388550,42400
7300,391250,43000
7400,417300,42550
7500,406100,43950
7600,424600,43850
7700,454350,55850
7800,440850,47050
7900,459550,45350
8000,455600,49400
8100,457650,47800
8200,472550,47950
8300,488900,49050
8400,485950,50000
8500,486050,50300
8600,515650,51500
8700,397250,52850
8800,390850,51650
8900,409100,52500
9000,428650,52900
9100,447050,54950
9200,437850,62550
9300,426400,55100
9400,429900,55050
9500,438300,55800
9600,453750,56400
9700,457800,57450
9800,464150,59000
9900,456050,58550
10000,461750,60700
10100,462850,59350
10200,471000,60250
10300,489850,61500
10400,490000,61600
10500,489600,62600
10600,501900,62750
10700,492750,62700
10800,507250,63900
10900,513100,63700
11000,543100,65000
11100,534850,66050
11200,535400,66600
11300,547400,65150
11400,563450,68750
11500,568550,71150
11600,577950,67750
11700,567900,70600
11800,588450,68500
11900,610700,69250
12000,590650,69950
12100,616850,72000
12200,614100,74100
12300,620800,70100
12400,628350,70600
12500,631200,70000
12600,675200,71100
12700,662350,74450
12800,666350,73100
12900,678850,74000
13000,682000,74050
13100,701550,78250
13200,689750,78800
13300,696550,76250
13400,701550,76350
13500,707600,76750
13600,723050,80650
13700,722750,78850
13800,730450,78250
13900,735750,78900
14000,771600,79600
14100,765750,81300
14200,768950,81800
14300,787000,82150
14400,802100,81000
14500,805550,90050
14600,1439300,82850
14700,816650,84400
14800,831650,83850
14900,857900,86100
15000,841050,85650
15100,856100,85100
15200,867900,86650
15300,914700,107150
15400,881200,87750
15500,898250,88950
15600,911450,90350
15700,911200,89500
15800,925450,90200
15900,937250,90750
16000,930900,93100
16100,957950,91400
16200,955900,92900
16300,964150,91500
16400,1011650,92200
16500,980350,93850
16600,998000,96150
16700,993550,96700
16800,1026600,94900
16900,1037150,98700
17000,1041900,99600
17100,1034350,98100
17200,1057400,98600
17300,1047300,98200
17400,829000,98950
17500,844850,101300
17600,828000,101350
17700,822950,100600
17800,833200,101450
17900,990700,103250
18000,828200,103800
18100,848250,122150
18200,887200,105500
18300,861450,104400
18400,871100,105600
18500,967550,105500
18600,879250,111050
18700,896900,108250
18800,1049200,108550
18900,914050,108000
19000,893200,109000
19100,971750,108850
19200,920750,115100
19300,911600,110500
19400,1068700,111350
19500,955900,112650
19600,923350,111000
19700,1047850,112400
19800,958800,120500
19900,939350,113850
20000,962950,114550
20100,961500,114350
20200,963950,116000
20300,969900,114250
20400,966750,134050
20500,968050,119350
20600,997300,120100
20700,976100,118450
20800,974900,116650
20900,1005700,118650
21000,1001300,122900
21100,996700,118400
21200,1018900,119150
21300,1014850,122150
21400,1023450,120200
21500,1051000,121200
21600,1033450,128600
21700,1065850,124900
21800,1073700,126700
21900,1060300,125300
22000,1076400,123000
22100,1088850,130300
22200,1102000,124700
22300,1163950,125200
22400,1092850,126100
22500,1103400,126250
22600,1142600,127400
22700,1131900,129800
22800,1174150,130550
22900,1147950,134550
23000,1150450,131950
23100,1198000,133600
23200,1183650,131150
23300,1195900,132400
23400,1183750,135300
23500,1188250,153000
23600,1202600,135500
23700,1204950,135050
23800,1216100,136350
23900,1217000,135700
24000,1229350,136700
24100,1229000,137250
24200,1246950,138850
24300,1254350,140750
24400,2152950,138600
24500,1267450,139550
24600,1292650,138750
24700,1283800,139050
24800,1332000,140150
24900,1297800,140300
25000,1307450,141350
