Lambda,BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
0.25,55550500,100,764450,1121,2344200,90,33007100,0,3707250,0,4187450,0
0.5,55709100,100,1008100,2923,2438600,0,31439350,0,2828850,0,3478150,0
0.75,55478800,100,1399350,2923,2401050,0,38082350,0,3453900,0,3835350,0
1.0,55474850,100,1246800,5383,2785250,6598,31159950,0,2622800,0,2682400,0
1.25,54567550,100,1447600,5383,2822050,6598,33875500,0,2931950,0,3079850,0
1.5,54935650,100,1507600,5383,2906350,6598,38006950,0,3419050,0,3561100,0
1.75,55219600,100,1621950,5383,2712100,6598,41696750,0,4105100,0,4111450,0
2.0,54975200,100,1422150,9674,2991350,9000,31686450,0,2685950,0,2873500,0
2.25,55922300,100,1477800,9674,3026200,9000,32585150,0,2773350,0,2852250,0
2.5,54384050,100,1453600,9674,2998300,9000,31311950,0,3432350,0,3270750,0
2.75,55297500,100,1496850,9674,3023650,9000,36181550,0,4524000,0,3353900,0
3.0,54780500,100,1800500,9674,3021500,9000,36752550,0,4179800,0,5364100,0
3.25,68144850,100,1557950,9674,2943900,9000,38666850,0,4018300,0,3594700,0
3.5,50615700,100,1622550,9674,2996100,9000,36564850,0,4798250,0,5281400,0
3.75,55556500,100,2024500,6947,3442100,6947,31041850,0,3546000,0,2998550,0
4.0,54710800,100,1957000,6947,3446400,6947,30931650,0,3005900,0,2938950,0
4.25,55351850,100,1948750,6947,3660500,6947,31714750,0,3313850,0,3073350,0
4.5,54840800,100,2034550,6947,3611550,6947,33085700,0,3978950,0,3570500,0
4.75,54741900,100,1981000,6947,3567600,6947,33320550,0,3346200,0,5271250,0
5.0,55031550,100,1982950,6947,3786000,6947,33616650,0,3491650,0,3459900,0
5.25,55078700,100,2012500,6947,3543150,6947,34354800,0,3972400,0,3815900,0
5.5,56051250,100,2018850,6947,3536150,6947,35391550,0,4172750,0,4392850,0
5.75,55362650,100,2026650,6947,3550800,6947,36147950,0,4046550,0,4042200,0
6.0,56717500,100,2070450,6947,3636250,6947,36770500,0,4058200,0,4460550,0
6.25,55291400,100,2013650,6947,3689650,6947,38830400,0,4862150,0,5125400,0
6.5,55018150,100,2036900,6947,3660200,6947,39484550,0,6426500,0,4664400,0
6.75,55440050,100,2099800,6947,4035100,6947,40940450,0,4638200,0,4892550,0
7.0,54976800,100,2069650,6947,4246500,6947,41107150,0,4884850,0,4952550,0
7.25,55497950,100,2922200,3467,4226350,3467,28918650,0,3779150,0,3775350,0
7.5,55201650,100,2929000,3467,4519250,3467,31015250,0,3462500,0,3683450,0
7.75,54981000,100,2931000,3467,4463250,3467,30940050,0,3599100,0,3780700,0
8.0,55148900,100,2936150,3467,4334900,3467,31058300,0,3806100,0,3947400,0
8.25,54300050,100,3408700,3467,4641250,3467,31109650,0,3787200,0,3848600,0
8.5,55055800,100,2907250,3467,4479350,3467,29601950,0,4017350,0,4308350,0
8.75,56195100,100,2987150,3467,4446000,3467,32722850,0,3919200,0,4211450,0
9.0,54998550,100,2968750,3467,4611350,3467,31813350,0,4164600,0,4153500,0
9.25,54330150,100,2752700,3467,4511050,3467,31523100,0,4228000,0,4419900,0
9.5,54685250,100,2974650,3467,4442000,3467,33346250,0,4049950,0,4797250,0
9.75,54613300,100,2980800,3467,4416350,3467,33719800,0,4521900,0,4458750,0
10.0,54871850,100,5288450,3467,4301950,3467,32291050,0,4471400,0,4625400,0
10.25,54844100,100,3005350,3467,4426000,3467,34459000,0,4380200,0,4735100,0
10.5,55060400,100,3045100,3467,4390100,3467,34179250,0,4422750,0,4763250,0
10.75,54916450,100,2900000,3467,4270450,3467,31899150,0,4753300,0,5265300,0
11.0,55780450,100,3791100,3467,5253350,3467,35242550,0,4654300,0,5217350,0
11.25,57172900,100,2981750,3467,4852150,3467,38892200,0,4841150,0,5182700,0
11.5,53990500,100,2934400,3467,4400900,3467,35379100,0,5311150,0,5370050,0
11.75,55316300,100,2912700,3467,4640750,3467,33694050,0,4849750,0,6245400,0
12.0,54490900,100,3284750,3467,4358400,3467,36398500,0,5800800,0,5446700,0
12.25,54712050,100,2908350,3467,4355850,3467,37335150,0,5143050,0,5504650,0
12.5,54183400,100,3070450,3467,4399250,3467,36871700,0,6224950,0,5628750,0
12.75,54760300,100,2994650,3467,4380600,3467,39012750,0,5278700,0,5882900,0
13.0,54490350,100,3037550,3467,4420100,3467,39060450,0,5496550,0,5881550,0
13.25,54576400,100,3001500,3467,4482150,3467,40692400,0,6096850,0,6123900,0
13.5,55459900,100,3085500,3467,4536950,3467,40395850,0,5969450,0,6287050,0
13.75,54908850,100,3005700,3467,4457900,3467,41068300,0,8004100,0,6344050,0
14.0,54951050,100,2984800,3467,4510200,3467,41108600,0,5883450,0,6393500,0
14.25,54819050,100,3047850,3467,4501000,3467,42031650,0,6296550,0,6432650,0
14.5,54367050,100,4832450,1733,6286400,1733,27286350,0,5446500,0,5172400,0
14.75,54225800,100,4835450,1733,6158450,1733,30228300,0,5442450,0,5093950,0
15.0,50003550,100,4911850,1733,6147300,1733,27256600,0,5402150,0,5505200,0
15.25,54682050,100,4965100,1733,6236500,1733,30369050,0,5444650,0,5161550,0
15.5,54882650,100,4841150,1733,6561100,1733,30371400,0,5302100,0,5090300,0
15.75,56139500,100,4865150,1733,6215550,1733,30686350,0,5662000,0,5577350,0
16.0,55135750,100,5704150,1733,6297750,1733,31187200,0,5479150,0,5251150,0
16.25,55143100,100,4984650,1733,6315900,1733,30855750,0,5621700,0,5383700,0
