ItemsInList,time(ns)
0,2299600
1000,242
2000,133
3000,52
4000,50
5000,50
6000,44
7000,46
8000,43
9000,46
10000,20
11000,9
12000,9
13000,9
14000,9
15000,9
16000,9
17000,9
18000,9
19000,9
20000,9
21000,9
22000,9
23000,11
24000,9
25000,10
26000,8
27000,8
28000,9
29000,9
30000,9
31000,9
32000,9
33000,8
34000,10
35000,9
36000,9
37000,9
38000,8
39000,13
40000,9
41000,9
42000,9
43000,10
44000,9
45000,9
46000,9
47000,8
48000,8
49000,8
50000,10
51000,9
52000,8
53000,9
54000,8
55000,8
56000,9
57000,8
58000,8
59000,8
60000,9
61000,8
62000,8
63000,8
64000,8
65000,8
66000,8
67000,8
68000,8
69000,8
70000,8
71000,8
72000,8
73000,8
74000,8
75000,8
76000,8
77000,8
78000,9
79000,9
80000,8
81000,8
82000,8
83000,8
84000,15
85000,8
86000,8
87000,8
88000,8
89000,8
90000,8
91000,8
92000,8
93000,8
94000,8
95000,8
96000,8
97000,8
98000,8
99000,8
100000,8
101000,8
102000,9
103000,8
104000,8
105000,8
106000,8
107000,8
108000,8
109000,8
110000,8
111000,8
112000,8
113000,8
114000,8
115000,8
116000,8
117000,8
118000,8
119000,8
120000,8
121000,8
122000,8
123000,8
124000,8
125000,8
126000,8
127000,8
128000,8
129000,8
130000,8
131000,8
132000,8
133000,8
134000,8
135000,8
136000,8
137000,8
138000,8
139000,8
140000,8
141000,8
142000,12
143000,8
144000,8
145000,8
146000,8
147000,8
148000,8
149000,8
150000,8
151000,8
152000,8
153000,8
154000,8
155000,9
156000,8
157000,8
158000,8
159000,8
160000,8
161000,8
162000,9
163000,8
164000,8
165000,8
166000,8
167000,8
168000,8
169000,8
170000,8
171000,8
172000,8
173000,8
174000,8
175000,8
176000,8
177000,8
178000,8
179000,8
180000,8
181000,8
182000,8
183000,11
184000,8
185000,8
186000,8
187000,8
188000,8
189000,8
190000,8
191000,8
192000,8
193000,8
194000,8
195000,8
196000,8
197000,8
198000,8
199000,8
200000,8
201000,8
202000,8
203000,8
204000,8
205000,8
206000,9
207000,8
208000,9
209000,8
210000,8
211000,8
212000,8
213000,8
214000,9
215000,9
216000,11
217000,8
218000,8
219000,8
220000,8
221000,8
222000,9
223000,9
224000,8
225000,8
226000,8
227000,8
228000,8
229000,8
230000,9
231000,9
232000,8
233000,8
234000,8
235000,8
236000,8
237000,9
238000,9
239000,8
240000,8
241000,8
242000,8
243000,8
244000,11
245000,9
246000,9
247000,8
248000,8
249000,8
250000,8
251000,8
252000,9
253000,9
254000,8
255000,8
256000,8
257000,8
258000,8
259000,9
260000,9
261000,8
262000,8
263000,8
264000,8
265000,8
266000,9
267000,8
268000,8
269000,8
270000,11
271000,8
272000,9
273000,8
274000,8
275000,8
276000,8
277000,8
278000,8
279000,8
280000,8
281000,8
282000,8
283000,8
284000,8
285000,8
286000,8
287000,9
288000,8
289000,9
290000,8
291000,8
292000,8
293000,10
294000,8
295000,8
296000,8
297000,8
298000,8
299000,8
300000,8
301000,8
302000,8
303000,8
304000,8
305000,8
306000,8
307000,8
308000,8
309000,8
310000,8
311000,8
312000,8
313000,8
314000,8
315000,11
316000,8
317000,8
318000,8
319000,8
320000,8
321000,8
322000,8
323000,8
324000,8
325000,8
326000,8
327000,8
328000,8
329000,8
330000,8
331000,8
332000,8
333000,8
334000,8
335000,10
336000,8
337000,8
338000,8
339000,8
340000,8
341000,8
342000,8
343000,8
344000,8
345000,8
346000,8
347000,8
348000,8
349000,8
350000,8
351000,8
352000,8
353000,8
354000,10
355000,8
356000,8
357000,8
358000,8
359000,8
360000,8
361000,8
362000,8
363000,9
364000,8
365000,8
366000,8
367000,8
368000,8
369000,8
370000,8
371000,8
372000,10
373000,8
374000,8
375000,8
376000,8
377000,8
378000,8
379000,8
380000,8
381000,8
382000,8
383000,8
384000,8
385000,8
386000,8
387000,8
388000,8
389000,9
390000,10
391000,8
392000,8
393000,8
394000,8
395000,8
396000,8
397000,8
398000,8
399000,8
400000,8
401000,8
402000,8
403000,8
404000,8
405000,8
406000,9
407000,8
408000,8
409000,8
410000,8
411000,8
412000,8
413000,8
414000,8
415000,8
416000,8
417000,8
418000,8
419000,8
420000,8
421000,8
422000,10
423000,8
424000,8
425000,8
426000,8
427000,8
428000,8
429000,8
430000,8
431000,8
432000,8
433000,8
434000,8
435000,8
436000,8
437000,9
438000,8
439000,8
440000,8
441000,8
442000,8
443000,8
444000,8
445000,8
446000,8
447000,9
448000,9
449000,8
450000,8
451000,8
452000,9
453000,8
454000,8
455000,8
456000,8
457000,8
458000,8
459000,8
460000,8
461000,8
462000,8
463000,8
464000,8
465000,8
466000,8
467000,9
468000,8
469000,8
470000,8
471000,8
472000,8
473000,8
474000,8
475000,8
476000,9
477000,8
478000,8
479000,8
480000,9
481000,8
482000,8
483000,8
484000,8
485000,8
486000,8
487000,8
488000,8
489000,8
490000,8
491000,8
492000,8
493000,8
494000,9
495000,8
496000,8
497000,8
498000,8
499000,8
500000,8
501000,8
502000,8
503000,8
504000,8
505000,8
506000,8
507000,9
508000,8
509000,8
510000,8
511000,8
512000,8
513000,8
514000,8
515000,8
516000,8
517000,8
518000,8
519000,8
520000,9
521000,8
522000,8
523000,8
524000,8
525000,8
526000,8
527000,8
528000,8
529000,8
530000,8
531000,8
532000,9
533000,8
534000,8
535000,8
536000,8
537000,8
538000,8
539000,8
540000,8
541000,8
542000,8
543000,8
544000,8
545000,9
546000,8
547000,8
548000,8
549000,8
550000,8
551000,8
552000,8
553000,8
554000,8
555000,8
556000,8
557000,9
558000,8
559000,8
560000,8
561000,8
562000,8
563000,8
564000,8
565000,8
566000,8
567000,8
568000,9
569000,8
570000,8
571000,8
572000,8
573000,8
574000,8
575000,8
576000,8
577000,8
578000,8
579000,8
580000,9
581000,8
582000,8
583000,8
584000,8
585000,8
586000,8
587000,8
588000,8
589000,8
590000,8
591000,9
592000,8
593000,8
594000,8
595000,8
596000,8
597000,8
598000,8
599000,8
600000,8
601000,8
602000,9
603000,8
604000,8
605000,8
606000,8
607000,8
608000,8
609000,8
610000,8
611000,8
612000,8
613000,9
614000,8
615000,8
616000,8
617000,8
618000,8
619000,8
620000,8
621000,8
622000,8
623000,8
624000,9
625000,8
626000,8
627000,8
628000,8
629000,8
630000,8
631000,9
632000,8
633000,8
634000,9
635000,8
636000,8
637000,8
638000,8
639000,8
640000,8
641000,8
642000,8
643000,8
644000,9
645000,8
646000,8
647000,8
648000,8
649000,8
650000,8
651000,8
652000,9
653000,8
654000,9
655000,8
656000,8
657000,8
658000,8
659000,8
660000,8
661000,8
662000,8
663000,8
664000,9
665000,8
666000,8
667000,8
668000,8
669000,8
670000,8
671000,8
672000,8
673000,8
674000,9
675000,8
676000,8
677000,8
678000,8
679000,8
680000,8
681000,8
682000,8
683000,8
684000,9
685000,8
686000,8
687000,8
688000,8
689000,8
690000,8
691000,8
692000,8
693000,9
694000,8
695000,8
696000,8
697000,8
698000,8
699000,8
700000,8
701000,8
702000,8
703000,9
704000,8
705000,8
706000,8
707000,8
708000,8
709000,8
710000,8
711000,8
712000,9
713000,8
714000,8
715000,8
716000,8
717000,8
718000,8
719000,8
720000,8
721000,9
722000,8
723000,8
724000,8
725000,8
726000,8
727000,8
728000,8
729000,8
730000,9
731000,8
732000,8
733000,8
734000,8
735000,8
736000,8
737000,8
738000,8
739000,9
740000,8
741000,8
742000,8
743000,8
744000,8
745000,8
746000,8
747000,8
748000,9
749000,8
750000,8
751000,8
752000,8
753000,8
754000,8
755000,8
756000,8
757000,9
758000,8
759000,8
760000,8
761000,8
762000,8
763000,8
764000,8
765000,8
766000,9
767000,8
768000,8
769000,8
770000,8
771000,8
772000,8
773000,8
774000,9
775000,8
776000,8
777000,8
778000,8
779000,8
780000,8
781000,8
782000,8
783000,9
784000,8
785000,8
786000,8
787000,8
788000,8
789000,8
790000,8
791000,9
792000,8
793000,8
794000,8
795000,8
796000,8
797000,8
798000,8
799000,9
800000,8
801000,8
802000,8
803000,8
804000,8
805000,8
806000,8
807000,9
808000,8
809000,8
810000,8
811000,8
812000,8
813000,8
814000,8
815000,8
816000,9
817000,8
818000,8
819000,8
820000,8
821000,8
822000,8
823000,9
824000,9
825000,8
826000,8
827000,8
828000,8
829000,8
830000,8
831000,8
832000,9
833000,8
834000,9
835000,8
836000,9
837000,9
838000,9
839000,9
840000,8
841000,8
842000,8
843000,8
844000,9
845000,8
