itemsInArray,time(ns),mergeThreshold,timesToLoop
0,1279,1,100
100,55106,1,100
200,83373,1,100
300,128814,1,100
400,76852,1,100
500,63721,1,100
600,94210,1,100
700,91954,1,100
800,97930,1,100
900,118100,1,100
1000,140386,1,100
1100,149865,1,100
1200,159094,1,100
1300,190843,1,100
1400,188074,1,100
1500,192529,1,100
1600,229999,1,100
1700,232230,1,100
1800,247217,1,100
1900,261234,1,100
2000,287975,1,100
2100,301109,1,100
2200,339585,1,100
2300,336046,1,100
2400,354931,1,100
2500,366108,1,100
2600,397551,1,100
2700,431548,1,100
2800,416206,1,100
2900,423018,1,100
3000,454716,1,100
3100,469568,1,100
3200,487820,1,100
3300,504190,1,100
3400,522070,1,100
3500,568435,1,100
3600,613215,1,100
3700,589917,1,100
3800,608010,1,100
3900,630099,1,100
4000,653165,1,100
4100,688371,1,100
4200,715660,1,100
4300,737789,1,100
4400,690342,1,100
4500,722582,1,100
4600,729941,1,100
4700,748331,1,100
4800,770280,1,100
4900,779678,1,100
5000,807486,1,100
5100,844479,1,100
5200,834348,1,100
5300,884425,1,100
5400,912492,1,100
5500,926576,1,100
5600,922301,1,100
5700,979048,1,100
5800,966233,1,100
5900,969983,1,100
6000,994898,1,100
6100,1012236,1,100
6200,1018863,1,100
6300,1041997,1,100
6400,1079474,1,100
6500,1090744,1,100
6600,1127743,1,100
6700,1130428,1,100
6800,1138406,1,100
6900,1157369,1,100
7000,1187860,1,100
7100,1178243,1,100
7200,1197530,1,100
7300,1222816,1,100
7400,1249327,1,100
7500,1266396,1,100
7600,1295054,1,100
7700,1298273,1,100
7800,1349000,1,100
7900,1336008,1,100
8000,1364512,1,100
8100,1371035,1,100
8200,1395538,1,100
8300,1419748,1,100
8400,1435847,1,100
8500,1495913,1,100
8600,1506378,1,100
8700,1510696,1,100
8800,1521874,1,100
8900,1557178,1,100
9000,1601241,1,100
9100,1605976,1,100
9200,1605057,1,100
9300,1666418,1,100
9400,1688063,1,100
9500,1800114,1,100
9600,1765728,1,100
9700,1726032,1,100
9800,1749487,1,100
9900,1784580,1,100
0,27,2,100
100,16668,2,100
200,22265,2,100
300,33617,2,100
400,44692,2,100
500,50129,2,100
600,63172,2,100
700,78462,2,100
800,75333,2,100
900,104573,2,100
1000,117769,2,100
1100,133163,2,100
1200,147334,2,100
1300,164278,2,100
1400,183118,2,100
1500,189163,2,100
1600,206595,2,100
1700,224798,2,100
1800,228318,2,100
1900,251997,2,100
2000,264789,2,100
2100,293584,2,100
2200,293140,2,100
2300,316168,2,100
2400,331547,2,100
2500,352290,2,100
2600,377127,2,100
2700,382754,2,100
2800,404750,2,100
2900,425397,2,100
3000,437751,2,100
3100,446587,2,100
3200,464622,2,100
3300,486790,2,100
3400,494234,2,100
3500,507804,2,100
3600,526075,2,100
3700,546670,2,100
3800,576651,2,100
3900,583334,2,100
4000,598035,2,100
4100,619416,2,100
4200,641053,2,100
4300,669107,2,100
4400,684308,2,100
4500,701584,2,100
4600,747575,2,100
4700,789663,2,100
4800,758887,2,100
4900,775791,2,100
5000,791049,2,100
5100,806962,2,100
5200,813181,2,100
5300,857559,2,100
5400,869054,2,100
5500,887159,2,100
5600,1025227,2,100
5700,930856,2,100
5800,952760,2,100
5900,976290,2,100
6000,992182,2,100
6100,999662,2,100
6200,1046604,2,100
6300,1033779,2,100
6400,1024769,2,100
6500,1107233,2,100
6600,1090394,2,100
6700,1103323,2,100
6800,1139686,2,100
6900,1182364,2,100
7000,1191650,2,100
7100,1183247,2,100
7200,1203926,2,100
7300,1206646,2,100
7400,1250774,2,100
7500,1271870,2,100
7600,1289089,2,100
7700,1294129,2,100
7800,1304731,2,100
7900,1312576,2,100
8000,1328684,2,100
8100,1357264,2,100
8200,1451533,2,100
8300,1413288,2,100
8400,1458285,2,100
8500,1555545,2,100
8600,1595042,2,100
8700,1606717,2,100
8800,1580859,2,100
8900,1564385,2,100
9000,1668633,2,100
9100,1593332,2,100
9200,1634516,2,100
9300,1620294,2,100
9400,1636660,2,100
9500,1755689,2,100
9600,1806354,2,100
9700,1857608,2,100
9800,1777407,2,100
9900,1743597,2,100
0,38,3,100
100,6545,3,100
200,15412,3,100
300,25101,3,100
400,35591,3,100
500,49567,3,100
600,60788,3,100
700,71254,3,100
800,84644,3,100
900,95999,3,100
1000,116266,3,100
1100,129758,3,100
1200,143292,3,100
1300,150123,3,100
1400,166549,3,100
1500,172948,3,100
1600,195978,3,100
1700,214128,3,100
1800,225482,3,100
1900,243371,3,100
