ItemsInList,time(ns)
0,6100
10,1220
20,55
30,-3
40,180
50,218
60,220
70,390
80,256
90,3
100,47
110,39
120,42
130,14
140,-1
150,22
160,18
170,-11
180,52
190,11
200,21
210,-170
220,48
230,2
240,16
250,85
260,5
270,142
280,67
290,118
300,-10
310,25
320,37
330,125
340,-29
350,47
360,4
370,2
380,-11
390,14
400,155
410,92
420,65
430,52
440,47
450,-2
460,33
470,8
480,36
490,39
500,26
510,0
520,68
530,3528
540,7
550,10
560,20
570,-7
580,35
590,9
600,21
610,17
620,2
630,21
640,9
650,9
660,-9
670,96
680,90
690,17
700,26
710,-21
720,10
730,24
740,-10
750,34
760,33
770,36
780,131
790,34
800,9
810,13
820,15
830,21
840,18
850,2
860,39
870,14
880,41
890,-6
900,-17
910,-74
920,13
930,21
940,32
950,33
960,22
970,13
980,15
990,-4
