itemsInArray,time(ns),mergeThreshold,timesToLoop
0,254,1,100
100,42864,1,100
200,46164,1,100
300,74798,1,100
400,88091,1,100
500,116481,1,100
600,127723,1,100
700,171649,1,100
800,199829,1,100
900,213526,1,100
1000,276416,1,100
1100,362153,1,100
1200,202332,1,100
1300,121650,1,100
1400,106866,1,100
1500,136954,1,100
1600,129651,1,100
1700,143658,1,100
1800,149271,1,100
1900,164852,1,100
2000,164233,1,100
2100,145122,1,100
2200,220171,1,100
2300,234114,1,100
2400,219316,1,100
2500,218391,1,100
2600,236105,1,100
2700,303286,1,100
2800,291218,1,100
2900,266784,1,100
3000,341308,1,100
3100,325756,1,100
3200,312932,1,100
3300,324082,1,100
3400,315360,1,100
3500,337340,1,100
3600,325596,1,100
3700,364153,1,100
3800,470956,1,100
3900,382509,1,100
4000,382218,1,100
4100,391051,1,100
4200,404214,1,100
4300,397969,1,100
4400,403684,1,100
4500,421778,1,100
4600,452207,1,100
4700,481908,1,100
4800,555548,1,100
4900,533099,1,100
5000,494824,1,100
5100,539112,1,100
5200,559319,1,100
5300,631204,1,100
5400,631641,1,100
5500,580824,1,100
5600,548052,1,100
5700,574498,1,100
5800,653780,1,100
5900,589314,1,100
6000,614103,1,100
6100,637165,1,100
6200,730605,1,100
6300,640115,1,100
6400,667376,1,100
6500,635659,1,100
6600,671617,1,100
6700,676763,1,100
6800,741562,1,100
6900,707596,1,100
7000,723136,1,100
7100,764298,1,100
7200,843950,1,100
7300,761728,1,100
7400,749330,1,100
7500,793902,1,100
7600,766149,1,100
7700,825299,1,100
7800,835722,1,100
7900,859207,1,100
8000,826970,1,100
8100,808982,1,100
8200,825493,1,100
8300,851274,1,100
8400,885334,1,100
8500,940926,1,100
8600,928674,1,100
8700,890370,1,100
8800,917186,1,100
8900,944381,1,100
9000,934944,1,100
9100,969909,1,100
9200,969417,1,100
9300,996134,1,100
9400,992227,1,100
9500,1039085,1,100
9600,1105357,1,100
9700,1170039,1,100
9800,1059070,1,100
9900,1046498,1,100
0,42,3,100
100,37446,3,100
200,32021,3,100
300,50519,3,100
400,72068,3,100
500,110534,3,100
600,127837,3,100
700,126860,3,100
800,161867,3,100
900,207186,3,100
1000,202903,3,100
1100,257815,3,100
1200,331450,3,100
1300,220367,3,100
1400,123172,3,100
1500,105061,3,100
1600,118963,3,100
1700,143202,3,100
1800,140610,3,100
1900,143956,3,100
2000,159425,3,100
2100,180213,3,100
2200,206853,3,100
2300,267768,3,100
2400,264642,3,100
2500,231273,3,100
2600,213021,3,100
2700,250622,3,100
2800,239302,3,100
2900,259637,3,100
3000,256632,3,100
3100,305119,3,100
3200,299528,3,100
3300,355194,3,100
3400,299182,3,100
3500,311233,3,100
3600,402885,3,100
3700,340961,3,100
3800,328822,3,100
3900,341518,3,100
4000,383970,3,100
4100,382209,3,100
4200,389280,3,100
4300,396982,3,100
4400,414871,3,100
4500,432832,3,100
4600,428431,3,100
4700,455747,3,100
4800,438795,3,100
4900,486306,3,100
5000,462555,3,100
5100,479667,3,100
5200,491441,3,100
5300,499869,3,100
5400,524834,3,100
5500,516571,3,100
5600,557468,3,100
5700,527614,3,100
5800,600310,3,100
5900,567823,3,100
6000,605805,3,100
6100,598410,3,100
6200,596454,3,100
6300,601980,3,100
6400,652853,3,100
6500,640140,3,100
6600,633056,3,100
6700,686302,3,100
6800,645735,3,100
6900,663189,3,100
7000,685912,3,100
7100,707049,3,100
7200,750227,3,100
7300,825933,3,100
7400,717623,3,100
7500,766950,3,100
7600,784224,3,100
7700,801868,3,100
7800,776201,3,100
7900,798692,3,100
8000,836532,3,100
8100,819116,3,100
8200,893159,3,100
8300,877637,3,100
8400,826777,3,100
8500,858146,3,100
8600,881922,3,100
8700,1059393,3,100
8800,924604,3,100
8900,902341,3,100
9000,889335,3,100
9100,939827,3,100
9200,1025054,3,100
9300,981569,3,100
9400,968609,3,100
9500,1013593,3,100
9600,1023593,3,100
9700,1022690,3,100
9800,1076102,3,100
9900,1139452,3,100
0,17,2,100
100,39731,2,100
200,42387,2,100
300,66428,2,100
400,104821,2,100
500,124905,2,100
600,142979,2,100
700,206290,2,100
800,209494,2,100
900,230924,2,100
1000,109110,2,100
1100,138318,2,100
1200,140219,2,100
1300,166771,2,100
1400,182939,2,100
1500,189920,2,100
1600,210147,2,100
1700,202657,2,100
1800,223702,2,100
1900,226751,2,100
2000,256205,2,100
2100,252651,2,100
