ItemsInList,time(ns)
0,4600
10,130
20,25
30,20
40,47
50,54
60,10
70,21
80,-51
90,37
100,6
110,15
120,72
130,23
140,23
150,15
160,28
170,15
180,23
190,8
200,22
210,20
220,23
230,12
240,34
250,28
260,15
270,24
280,16
290,16
300,21
310,4
320,25
330,11
340,53
350,59
360,1
370,18
380,5
390,35
400,13
410,16
420,16
430,24
440,18
450,16
460,19
470,21
480,26
490,-98
500,47
510,6
520,52
530,25
540,1
550,32
560,-105
570,82
580,44
590,187
600,18
610,43
620,14
630,-46
640,-39
650,222
660,-22
670,82
680,-17
690,47
700,-1
710,-24
720,89
730,71
740,30
750,21
760,35
770,-6
780,33
790,34
800,114
810,-51
820,23
830,49
840,69
850,143
860,13
870,-4
880,-126
890,48
900,-70
910,2
920,4
930,-5
940,-35
950,36
960,-57
970,16
980,-6
990,4
