Items in List (n),Our SortedTree time(ns),Our DescendingTree time(ns), Our RandomTree time(ns),Java SortedTree time(ns),Java DescendingTree time(ns), Java RandomTree time(ns)
1,14700,2500,1600,10200,10500,1200
101,339200,93700,33100,55300,61100,53100
201,411100,221300,55100,82400,53100,43700
301,896600,464700,86800,73500,68000,66300
401,1216500,747500,87600,76400,76400,73200
501,332800,316600,76500,74800,66100,75500
601,449800,453000,88700,89200,82700,91400
701,605600,604200,106200,104200,92800,107300
801,783000,787900,114200,97500,94900,116900
901,972300,993300,133100,103100,107300,125400
1001,1202100,1209600,151000,118900,115500,143000
1101,1650300,1521700,173400,129200,128500,264000
1201,1728000,1715800,202400,143600,142500,178800
1301,2055000,2149200,209200,162000,158600,191100
1401,2401200,2506800,226600,168500,172500,214100
1501,2733900,2828800,245800,183800,184500,266100
1601,3108900,3045100,245900,187700,189000,235100
1701,3360000,3403200,262900,197000,197100,267900
1801,3823200,3791700,282900,211100,214600,257400
1901,4182300,4229300,299200,220600,221900,287200
2001,4672600,4759800,189700,237600,244100,226300
2101,4947800,4998400,178000,123900,104300,160700
2201,5443000,5450900,181700,110400,116400,172100
2301,5936800,5906200,192800,112600,114900,177800
2401,6496800,6534600,195400,119600,152700,193300
2501,7429700,7107400,263400,137200,125300,197400
2601,7640700,7638700,219700,126700,142800,205400
2701,8182700,8171400,228400,133500,113900,230900
2801,9047100,8969400,233600,115600,114200,199900
2901,9716300,9513000,242300,121300,120000,214100
3001,10374400,10523500,246600,121800,122700,218700
3101,10825300,10972500,255700,127900,125800,219300
3201,11539000,11652300,271700,133500,131200,246100
3301,12290300,12701000,275900,140700,134600,236700
3401,12974900,13406300,299300,144500,146800,248300
3501,13738900,14079400,301900,145800,143300,251200
3601,14523800,14850700,307600,151400,145400,261300
3701,15375300,15477700,328900,152800,164800,268300
3801,16069900,16393200,328500,158300,157000,277100
3901,16844600,17008900,340700,162200,160500,290400
4001,17871700,18012600,338200,163500,160200,291800
4101,18786900,18867800,366200,174000,169900,308500
4201,20216700,21049200,389100,186200,177700,330400
4301,20732400,20654000,379000,182100,181300,322900
4401,21804800,21937900,380700,204500,187500,340100
4501,24104000,22853900,405300,189900,186700,342100
4601,23793100,24040300,417600,198500,194400,355400
4701,24785200,24713400,410000,198000,196600,379500
4801,25668400,25771400,430200,202500,204100,364800
4901,27117400,27137900,439200,204900,201400,371300
5001,27957600,27939400,444800,213800,212000,388100
5101,28968600,29073700,450900,216600,215300,402200
5201,30239200,30284900,475700,217100,221900,409600
5301,31576900,31649200,475900,221200,220100,416800
5401,32423300,32621000,499000,234000,233200,434900
5501,33753300,33914400,502100,232800,225000,433500
5601,34936900,35285800,515900,237000,240300,444300
5701,36230100,36518100,538200,244300,246400,461300
5801,37436800,37830800,562700,237700,246400,474400
5901,38608500,39404800,549600,252000,252500,465800
6001,40660500,40326800,564900,257500,263300,475400
6101,41728700,41903200,571900,261500,255700,499500
6201,42813500,43139600,612500,263900,263600,498300
6301,44165200,44490000,601900,266800,307200,560600
6401,45841000,46103000,588400,268600,269800,530300
6501,47978300,47318600,602000,274600,276100,528200
6601,48515600,48739000,666500,278900,290600,566600
6701,49450800,50336900,624100,284800,287000,554400
6801,51873800,51913100,643500,296400,294000,556700
6901,53058700,53416000,667500,316500,300200,579000
7001,55237800,55172700,740600,297900,305400,580600
7101,56260800,56622500,673400,305100,309700,590200
7201,57353700,58006700,677400,297500,313900,619100
7301,59358400,60437300,686200,316700,348100,630500
7401,61192200,61406200,695300,328200,318300,608400
7501,62876200,62971100,707400,319100,356700,639200
7601,64523200,68417000,752300,340000,343200,712000
7701,66209500,67446700,805400,333200,331000,671900
7801,67641400,68451400,769500,342300,329200,674900
7901,69563600,70667800,773100,342000,338100,714800
8001,71696200,72434400,776900,337900,341400,708100
8101,74112700,73839000,789800,366800,338700,704900
8201,75331400,77481200,825800,350200,345100,731500
8301,77137800,77714500,822200,367700,354400,740200
8401,79464600,78952700,823400,380300,377000,743800
8501,80593500,81175200,881500,377300,378500,770600
8601,82262400,82975000,893800,373000,376200,785800
