DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,PathLength,MazeSolved
1481,885,2347,5295,4140,5443,4485,103,randomGenerateMaze1
2698,39,2272,6199,1506,5538,1177,37,randomGenerateMaze2
5514,3743,6243,1626,1349,3969,6456,144,randomGenerateMaze3
4442,3192,1343,2025,2309,5171,1009,42,randomGenerateMaze4
4291,3452,896,941,1316,4977,5768,132,randomGenerateMaze5
3031,5948,3037,916,1288,383,3135,81,randomGenerateMaze6
4307,5693,621,5683,1684,5973,3373,91,randomGenerateMaze7
2612,2084,2646,3081,3533,6085,1973,54,randomGenerateMaze8
304,3111,5090,2833,4387,1790,6368,134,randomGenerateMaze9
2601,4425,5080,2605,2210,1117,5267,106,randomGenerateMaze10
3382,4471,1805,5822,6487,6653,3560,76,randomGenerateMaze11
1794,3755,2009,1413,1659,5706,716,37,randomGenerateMaze12
2363,6311,3018,3973,3809,2316,2951,62,randomGenerateMaze13
3614,3205,2087,2007,2354,5040,3924,93,randomGenerateMaze14
6718,6718,6718,6718,6718,6718,6718,-1,randomGenerateMaze15
1602,1520,5816,3106,3892,5213,6470,126,randomGenerateMaze16
5747,4218,118,491,3090,6314,3061,62,randomGenerateMaze17
3274,3934,3012,1500,1246,1074,4013,82,randomGenerateMaze18
843,2538,6130,6032,6038,6156,216,15,randomGenerateMaze19
6468,2836,3558,4470,3993,4709,3841,93,randomGenerateMaze20
5965,2771,2516,5670,5580,2813,3515,56,randomGenerateMaze21
3235,3264,4160,2504,3508,2153,3820,87,randomGenerateMaze22
5067,2964,4056,2470,2270,3678,3753,78,randomGenerateMaze23
6301,855,4921,4913,3679,4645,5115,86,randomGenerateMaze24
5008,5619,1940,5819,3003,2845,5097,88,randomGenerateMaze25
5985,5055,6447,2273,1016,5931,815,27,randomGenerateMaze26
665,6378,2663,4677,156,5230,157,14,randomGenerateMaze27
29,29,29,29,29,29,29,-1,randomGenerateMaze28
5969,2625,4410,4296,4494,5781,4142,97,randomGenerateMaze29
2564,886,1243,4941,4813,5731,5964,100,randomGenerateMaze30
5186,4241,532,5956,1755,4203,5378,103,randomGenerateMaze31
4691,1505,1181,4399,4954,4900,6085,146,randomGenerateMaze32
3476,4414,5907,629,1513,1794,3796,76,randomGenerateMaze33
298,1975,3999,100,2262,6012,88,6,randomGenerateMaze34
3630,2958,977,5045,5510,110,1698,54,randomGenerateMaze35
5791,3368,5685,2144,5370,1421,1199,39,randomGenerateMaze36
886,2050,4155,3920,1970,4310,802,37,randomGenerateMaze37
4763,331,2452,3512,4845,4045,385,18,randomGenerateMaze38
3945,5313,753,2746,1904,2487,1916,46,randomGenerateMaze39
1,1,1,1,1,1,1,-1,randomGenerateMaze40
1204,3723,4096,453,665,1206,4322,87,randomGenerateMaze41
2901,1891,1863,4934,4148,2813,2173,66,randomGenerateMaze42
3401,4955,2123,1133,2552,1094,6106,141,randomGenerateMaze43
35,1431,5047,3486,3345,137,811,33,randomGenerateMaze44
4131,3914,996,3340,4644,5078,5309,143,randomGenerateMaze45
5380,1154,1153,4095,3675,3261,3029,73,randomGenerateMaze46
5068,3434,6525,6014,1110,5353,1633,69,randomGenerateMaze47
5778,4884,6068,1532,1856,2500,5475,118,randomGenerateMaze48
2335,1941,5326,5089,5035,929,4890,105,randomGenerateMaze49
5022,5630,6451,1235,4342,2495,4175,88,randomGenerateMaze50
