ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
1,1730,3030,500,1,0,0,1730,#DIV/0!,#DIV/0!,3030,#DIV/0!,#DIV/0!,500,#DIV/0!,#DIV/0!
2,1140,1270,1000,4,0.301029996,0.602059991,285,3786.998028,1893.499014,317.5,4218.848681,2109.42434,250,3321.928095,1660.964047
3,3240,3420,1520,9,0.477121255,1.431363764,360,6790.726609,2263.575536,380,7167.989198,2389.329733,168.8888889,3185.772977,1061.924326
4,2410,4210,1850,16,0.602059991,2.408239965,150.625,4002.923354,1000.730839,263.125,6992.65864,1748.16466,115.625,3072.783488,768.1958719
5,3580,4750,2870,25,0.698970004,3.494850022,143.2,5121.822078,1024.364416,190,6795.713651,1359.14273,114.8,4106.041722,821.2083443
6,7620,4080,3260,36,0.77815125,4.668907502,211.6666667,9792.440732,1632.073455,113.3333333,5243.196612,873.8661021,90.55555556,4189.416901,698.2361502
7,5840,4970,3760,49,0.84509804,5.91568628,119.1836735,6910.440829,987.2058327,101.4285714,5880.974472,840.1392103,76.73469388,4449.187931,635.5982758
8,8810,3430,3030,64,0.903089987,7.224719896,137.65625,9755.395505,1219.424438,53.59375,3798.071122,474.7588902,47.34375,3355.147376,419.393422
9,4310,4100,3250,81,0.954242509,8.588182585,53.20987654,4516.671556,501.8523951,50.61728395,4296.601712,477.4001903,40.12345679,3405.842821,378.4269801
10,9000,2870,2150,100,1,10,90,9000,900,28.7,2870,287,21.5,2150,215
11,2500,2210,1870,121,1.041392685,11.45531954,20.66115702,2400.631419,218.23922,18.26446281,2122.158175,192.9234704,15.45454545,1795.672302,163.2429365
12,2700,2990,1970,144,1.079181246,12.95017495,18.75,2501.896702,208.4913918,20.76388889,2770.61894,230.8849117,13.68055556,1825.457964,152.121497
13,4080,2010,1910,169,1.113943352,14.48126358,24.14201183,3662.663807,281.7433698,11.89349112,1804.400552,138.8000425,11.30177515,1714.62938,131.8945677
14,1770,1420,970,196,1.146128036,16.0457925,9.030612245,1544.330079,110.3092914,7.244897959,1238.954075,88.49671963,4.948979592,846.3277835,60.45198453
15,1940,1560,1080,225,1.176091259,17.64136889,8.622222222,1649.531858,109.9687905,6.933333333,1326.42768,88.42851199,4.8,918.296086,61.21973907
16,2230,1740,1190,256,1.204119983,19.26591972,8.7109375,1851.974913,115.7484321,6.796875,1445.038721,90.31492008,4.6484375,988.2736082,61.76710051
17,2520,1910,1280,289,1.230448921,20.91763166,8.719723183,2048.033003,120.4725296,6.60899654,1552.278983,91.3105284,4.429065744,1040.270732,61.19239599
18,2770,2200,1410,324,1.255272505,22.59490509,8.549382716,2206.692163,122.5940091,6.790123457,1752.607494,97.36708302,4.351851852,1123.262076,62.40344867
19,3490,2310,1480,361,1.278753601,24.29631842,9.667590028,2729.220076,143.6431619,6.398891967,1806.446526,95.07613295,4.099722992,1157.376995,60.91457868
20,3390,2540,1400,400,1.301029996,26.02059991,8.475,2605.627857,130.2813929,6.35,1952.299339,97.61496693,3.5,1076.070502,53.80352508
21,3660,2740,1610,441,1.322219295,27.76660519,8.299319728,2768.073356,131.8130169,6.213151927,2072.273496,98.67969027,3.650793651,1217.649755,57.98332166
22,3960,3110,1480,484,1.342422681,29.53329898,8.181818182,2949.890565,134.0859348,6.425619835,2316.706984,105.3048629,3.05785124,1102.484352,50.11292511
23,4410,3250,1550,529,1.361727836,31.31974023,8.336483932,3238.532608,140.8057656,6.143667297,2386.673691,103.7684213,2.930056711,1138.25976,49.48955479
24,4790,3620,5600,576,1.380211242,33.1250698,8.315972222,3470.483253,144.6034689,6.284722222,2622.786926,109.2827886,9.722222222,4057.349941,169.0562475
25,11880,3990,1790,625,1.397940009,34.94850022,19.008,8498.218755,339.9287502,6.384,2854.199733,114.1679893,2.864,1280.455519,51.21822078
26,5680,4260,2030,676,1.414973348,36.78930705,8.402366864,4014.209885,154.3926879,6.301775148,3010.657414,115.7945159,3.00295858,1434.655998,55.17907683
27,6000,4590,2020,729,1.431363764,38.64682163,8.230452675,4191.806549,155.2520944,6.296296296,3206.73201,118.7678522,2.770919067,1411.241538,52.26820511
28,6590,4910,2320,784,1.447158031,40.52042488,8.405612245,4553.752843,162.6340301,6.262755102,3392.856823,121.1734579,2.959183673,1603.142124,57.25507585
29,1310,1360,840,841,1.462397998,42.40954194,1.557669441,895.7889726,30.88927492,1.617122473,929.9793914,32.06825487,0.998810939,574.3990358,19.8068633
30,1280,1310,940,900,1.477121255,44.31363764,1.422222222,866.5503904,28.88501301,1.455555556,886.8601652,29.56200551,1.044444444,636.372943,21.21243143
31,2150,1450,870,961,1.491361694,46.23221251,2.237252862,1441.635526,46.50437181,1.508844953,972.2658199,31.36341354,0.905306972,583.3594919,18.81804813
32,1370,1440,920,1024,1.505149978,48.16479931,1.337890625,910.208298,28.44400931,1.40625,956.7152913,29.89735285,0.8984375,611.2347695,19.10108655
33,1410,1470,950,1089,1.51851394,50.11096002,1.29476584,928.5393851,28.13755712,1.349862259,968.0516994,29.33489998,0.872359963,625.6116424,18.95792856
34,1480,1530,930,1156,1.531478917,52.07028318,1.280276817,966.3861406,28.42312178,1.323529412,999.034321,29.38336238,0.80449827,607.2561559,17.86047517
